"well_name","API_WellNo","BH_FtNS","BH_Lat","BH_Long"
"1","50029200090000",1938,70.381559,-149.825759
"32-14","50029200290000",1253,70.484367,-149.751728
"1","50029200520000",750,70.399188,-149.670657
"01","50029200900000",1320,70.339829,-149.53717
"02XX","50029201109500",1320,,
"02","50029201340000",1500,70.296194,-149.578384
"03","50029201390000",1990,70.276907,-149.789467
"04XX","50029201409500",1500,,
"05","50029201410000",1957,70.237175,-149.531321
"06","50029201420000",1971,70.280506,-149.409535
"1B-05","50029202370000",500,70.32769,-149.594546
"1D-08","50029202660000",600,70.298648,-149.510017
B-10,"50029202670000",1340,70.20299,-149.769573
"09","50029202740000",520,70.342006,-149.831036
"11","50029202750000",43,70.357917,-149.991608
"1A-08","50029203130000",589,70.330655,-149.673329
"04","50029203430000",2230,70.236431,-149.955111
"13","50029203450000",2600,70.177607,-149.991123
CPF1-23,"50029203780000",2000,70.323606,-149.603839
"1D-01","50029203930000",1113,70.31164,-149.515884
"1D-03","50029204080000",963,70.302909,-149.539521
"1D-04","50029204160000",1483,70.304307,-149.495124
"1D-05","50029204170000",1315,70.296698,-149.469927
"1D-06","50029204180000",816,70.28811,-149.493839
"14","50029204190000",2400,70.293739,-149.950805
"1D-02","50029204290000",961,70.312054,-149.471018
"1D-07","50029204300000",937,70.28844,-149.536281
"1E-01","50029204640000",2570,70.292894,-149.59411
"1B-01","50029204650000",1144,70.317789,-149.62658
"1E-02","50029204720000",1533,70.290066,-149.576533
"1E-03","50029204770000",1230,70.29693,-149.553235
"1E-04","50029204780000",939,70.288446,-149.624236
"1E-05","50029204790000",1595,70.304631,-149.577761
"1E-06","50029204930000",561,70.301813,-149.611864
"1E-07","50029204950000",969,70.312033,-149.555886
"1E-08","50029204960000",942,70.312106,-149.599007
"1C-01","50029205260000",1310,70.325485,-149.473199
"1B-02","50029205310000",1628,70.333483,-149.623226
"1C-02","50029205320000",1095,70.317655,-149.497564
"1C-03","50029205350000",4139,70.317786,-149.542592
"1B-03XX","50029205409500",1320,,
"16","50029205410000",500,70.443219,-149.947925
"17","50029205420000",600,70.446222,-149.722568
"1C-04","50029205470000",1693,70.324442,-149.516725
"1C-05","50029205500000",1312,70.332623,-149.494162
"1C-06","50029205640000",1022,70.34064,-149.468771
"1C-07","50029205690000",769,70.341315,-149.514914
"1","50029205730000",1402,70.304105,-149.454385
"1C-08","50029205850000",1493,70.333116,-149.541154
"1B-03","50029205880000",1418,70.332912,-149.581107
"1A-01","50029205900000",925,70.340904,-149.68634
"1B-04","50029205950000",963,70.317296,-149.609585
"1A-02","50029205990000",1312,70.332623,-149.710947
"1B-06","50029206030000",649,70.316441,-149.579887
"1A-03","50029206150000",832,70.339848,-149.646354
"1B-07","50029206160000",532,70.316122,-149.560783
"1A-04","50029206210000",1596,70.324706,-149.638871
"1A-05","50029206270000",1242,70.32567,-149.685645
"1B-08","50029206350000",1946,70.323753,-149.559433
"1A-06","50029206380000",614,70.316345,-149.664973
"1B-09","50029206550000",1113,70.340393,-149.601568
"1B-10","50029206560000",697,70.341524,-149.579693
"1B-11","50029206570000",631,70.341704,-149.554326
"1A-07","50029206580000",1053,70.317541,-149.68638
"1A-09","50029206690000",1570,70.324777,-149.662145
"1A-10","50029206730000",1016,70.31744,-149.704983
"1A-11","50029206850000",901,70.317127,-149.639113
"1A-12","50029206880000",1522,70.318819,-149.704801
"3A-09","50029206990000",758,70.403296,-149.937198
"1A-13","50029207000000",1434,70.332955,-149.687358
"1","50029207010000",1275,70.476868,-149.877421
"1A-14","50029207060000",887,70.331466,-149.643768
"1A-15","50029207110000",1034,70.340608,-149.70967
"1A-16","50029207130000",1142,70.340314,-149.662735
"25","50029207190000",2013,70.439088,-149.603126
"1E-09","50029207200000",2666,70.30755,-149.601003
"24","50029207230000",2365,70.335489,-149.421794
"1E-10","50029207250000",1243,70.311286,-149.613464
"1H-05","50029207270000",631,70.370878,-149.554487
"1E-12","50029207360000",2488,70.307065,-149.610926
